Theta,Gamma,Current0,Current1,Seq,sp_theta,sp_gamma
0.142000005,1.036999941,7.590000153,-15.41499996,9.424631717,0,2.023036957
0.165999994,1.082000017,7.333000183,-15.73799992,9.464065322,0,1.843806148
0.175999999,1.088000059,5.087999821,-13.67800045,9.503498928,0,1.576225638
0.180999994,1.06099999,1.906999946,-11.26000023,9.542932533,0,1.353437424
0.175999999,0.989000022,0.796999991,-9.149999619,9.582366139,0,1.220198035
0.143000007,0.912,0.880999982,-7.46600008,9.621799744,0,1.103017449
0.100000001,0.869000018,0.745999992,-5.495999813,9.66123335,0,1.009346247
0.063000001,0.876999974,-0.356999993,-2.605999947,9.700666955,0,0.945657015
0.024,0.915000021,-0.726999998,-0.504999995,9.740100561,0,0.918965101
-0.013,0.949999988,0.449999988,1.042000055,9.779534166,0,0.932305753
-0.033,0.970000029,0.617999971,1.567000031,9.818967772,0,0.983912051
-0.045000002,0.989000022,1.187999964,1.105999947,9.858401377,0,1.068509102
-0.043000001,0.984000027,2.621000052,-0.068000004,9.897834983,0,1.178183436
-0.022,0.959999979,3.154000044,-2.443000078,9.937268588,0,1.307019353
0.012,0.940999985,4.281000137,-5.068999767,9.976702194,0,1.482158661
0.057,0.944999993,5.56099987,-8.015999794,10.0161358,0,1.757647634
0.101999998,0.984000027,6.761000156,-12.17500019,10.0555694,0,1.980438709
0.142000005,1.031999946,7.445000172,-15.25899982,10.09500301,0,2.031144381
0.166999996,1.078999996,7.425000191,-16.06699944,10.13443662,0,1.868826985
0.178000003,1.085999966,5.381000042,-14.18900013,10.17387022,0,1.605219483
0.182999998,1.065000057,2.470000029,-11.57699966,10.21330383,0,1.368095398
0.178000003,0.998000026,0.414999992,-9.454000473,10.25273743,0,1.23346436
0.150000006,0.921000004,0.499000013,-7.678999901,10.29217104,0,1.114263058
0.108000003,0.874000013,0.823000014,-5.611999989,10.33160464,0,1.017857075
0.067000002,0.875,-0.199000001,-3.01699996,10.37103825,0,0.950661302
0.028999999,0.912,-0.370999992,-0.75,10.41047185,0,0.919906676
-0.007,0.94599998,-0.736000001,0.933000028,10.44990546,0,0.929048061
-0.028999999,0.967000008,0.54400003,1.317000031,10.48933907,0,0.976869226
-0.044,0.986999989,1.317000031,1.238000035,10.52877267,0,1.058377504
-0.043000001,0.985000014,1.723999977,0.082999997,10.56820628,0,1.165731788
-0.025,0.964999974,3.503000021,-2.355000019,10.60763988,0,1.292904973
0.009,0.941999972,3.796999931,-4.894000053,10.64707349,0,1.453712583
0.052999999,0.944000006,5.020999908,-8.097999573,10.68650709,0,1.729694843
